model_name,Recall@1,Recall@5,Recall@10,Recall@15,Recall@20,Recall@25,Recall@30,Recall@35,Recall@40,Recall@45,Recall@50,MRR@10
GGSNN_NoFeatures_e10,0.37,0.575,0.715,0.77,0.81,0.845,0.86,0.885,0.9,0.91,0.94,0.4610496031746034
GGSNN_OPC-200_e10,0.5,0.625,0.695,0.73,0.765,0.79,0.81,0.86,0.875,0.91,0.93,0.5608670634920635
GMN_NoFeatures_e16,0.42,0.62,0.72,0.765,0.795,0.82,0.86,0.885,0.91,0.915,0.93,0.5083670634920634
GMN_OPC-200_e16,0.475,0.605,0.655,0.685,0.725,0.765,0.8,0.82,0.855,0.875,0.925,0.5272956349206349
GNN-s2v_ArithMean_e5,0.285,0.495,0.57,0.64,0.685,0.72,0.75,0.8,0.84,0.845,0.86,0.37773214285714296
GNN-s2v_AttentionMean_e5,0.235,0.42,0.51,0.555,0.6,0.655,0.71,0.74,0.765,0.8,0.835,0.3135813492063494
GNN-s2v_GeminiNN_GeminiFeatures_e5,0.355,0.485,0.555,0.625,0.675,0.735,0.765,0.8,0.825,0.845,0.86,0.41240079365079363
GNN-s2v_GeminiNN_NoFeatures_e5,0.08,0.195,0.325,0.395,0.495,0.57,0.625,0.68,0.735,0.76,0.805,0.1378373015873016
GNN-s2v_GeminiNN_OPC-200_e5,0.395,0.565,0.615,0.67,0.72,0.74,0.76,0.795,0.815,0.84,0.865,0.46186111111111117
GNN-s2v_RNN_ASM_e7,0.175,0.4,0.59,0.635,0.71,0.74,0.775,0.795,0.81,0.84,0.865,0.2800952380952383
IMM:0.00_MNEM:0.00_GRAPH:1.00,0.23,0.365,0.445,0.525,0.575,0.63,0.675,0.715,0.76,0.8,0.82,0.29257341269841275
IMM:0.00_MNEM:1.00_GRAPH:1.00,0.24,0.355,0.42,0.48,0.52,0.585,0.63,0.665,0.715,0.745,0.775,0.2898035714285715
IMM:1.00_MNEM:1.00_GRAPH:1.00,0.23,0.36,0.42,0.495,0.545,0.595,0.615,0.67,0.705,0.76,0.775,0.2834265873015874
IMM:4.00_MNEM:0.05_GRAPH:1.00,0.17,0.29,0.39,0.445,0.495,0.565,0.59,0.62,0.665,0.685,0.735,0.22578769841269847
SAFE_ASM-list_250_e5,0.16,0.41,0.55,0.665,0.725,0.78,0.79,0.84,0.85,0.86,0.88,0.2661309523809526
SAFE_ASM-list_Rand_Trainable_e10,0.1,0.365,0.535,0.62,0.7,0.735,0.79,0.83,0.835,0.87,0.89,0.2114583333333334
SAFE_ASM-list_Trainable_e10,0.195,0.415,0.565,0.665,0.71,0.755,0.805,0.815,0.835,0.85,0.85,0.29573611111111126
SAFE_ASM-list_e5,0.12,0.37,0.55,0.635,0.69,0.73,0.765,0.815,0.835,0.85,0.89,0.23185317460317464
Trex,0.305,0.45,0.535,0.59,0.64,0.695,0.725,0.75,0.78,0.8,0.81,0.36734523809523817
Zeek,0.23,0.515,0.645,0.76,0.785,0.79,0.84,0.86,0.875,0.895,0.9,0.35684325396825406
asm2vec_e10,0.28,0.395,0.47,0.51,0.565,0.61,0.67,0.7,0.765,0.805,0.82,0.332279761904762
catalog1_128,0.265,0.37,0.445,0.495,0.57,0.655,0.75,0.805,0.865,0.895,0.93,0.30991269841269853
catalog1_16,0.26,0.56,0.765,0.855,0.915,0.96,0.985,1.0,1.0,1.0,1.0,0.38019444444444467
catalog1_32,0.265,0.395,0.555,0.69,0.795,0.865,0.9,0.935,0.97,0.985,0.99,0.3282539682539685
catalog1_64,0.26,0.375,0.435,0.535,0.645,0.77,0.82,0.9,0.92,0.935,0.94,0.3052063492063493
pvdbow_e10,0.275,0.415,0.475,0.53,0.59,0.655,0.7,0.73,0.755,0.79,0.82,0.33037103174603183
pvdm_e10,0.275,0.4,0.455,0.55,0.62,0.65,0.695,0.735,0.755,0.795,0.815,0.3319285714285714
