,model_name,XA,XC,XC+XB,XM,arch,bit,comp,opt,ver
0,GGSNN_NoFeatures_e10,0.82,0.82,0.83,0.82,0.93,0.97,0.79,0.84,0.94
1,GGSNN_OPC-200_e10,0.86,0.86,0.87,0.87,0.97,0.99,0.80,0.88,0.98
2,GMN_NoFeatures_e16,0.86,0.86,0.87,0.87,0.97,0.99,0.82,0.89,0.98
3,GMN_OPC-200_e16,0.86,0.85,0.86,0.86,0.99,0.99,0.77,0.89,0.99
4,GNN-s2v_ArithMean_e5,0.74,0.79,0.79,0.77,0.88,0.94,0.73,0.83,0.98
5,GNN-s2v_AttentionMean_e5,0.76,0.79,0.79,0.77,0.88,0.93,0.72,0.80,0.97
6,GNN-s2v_GeminiNN_GeminiFeatures_e5,0.80,0.81,0.82,0.81,0.96,0.98,0.72,0.84,0.98
7,GNN-s2v_GeminiNN_NoFeatures_e5,0.69,0.69,0.70,0.70,0.76,0.78,0.66,0.69,0.77
8,GNN-s2v_GeminiNN_OPC-200_e5,0.78,0.81,0.82,0.81,0.93,0.97,0.74,0.85,0.98
9,GNN-s2v_RNN_ASM_e7,0.79,0.79,0.80,0.80,0.90,0.91,0.73,0.81,0.91
10,IMM:0.00_MNEM:0.00_GRAPH:1.00,0.69,0.72,0.73,0.71,0.81,0.89,0.68,0.74,0.87
11,IMM:0.00_MNEM:1.00_GRAPH:1.00,0.58,0.73,0.71,0.65,0.66,0.88,0.78,0.82,0.97
12,IMM:1.00_MNEM:1.00_GRAPH:1.00,0.58,0.73,0.71,0.65,0.67,0.88,0.77,0.82,0.97
13,IMM:4.00_MNEM:0.05_GRAPH:1.00,0.65,0.69,0.70,0.67,0.75,0.83,0.67,0.73,0.82
14,SAFE_ASM-list_250_e5,0.82,0.82,0.83,0.83,0.94,0.94,0.76,0.83,0.94
15,SAFE_ASM-list_Rand_Trainable_e10,0.79,0.79,0.80,0.80,0.94,0.95,0.70,0.81,0.95
16,SAFE_ASM-list_Trainable_e10,0.80,0.80,0.81,0.81,0.95,0.96,0.71,0.82,0.96
17,SAFE_ASM-list_e5,0.80,0.80,0.81,0.81,0.91,0.92,0.72,0.81,0.92
18,Trex,0.73,0.80,0.79,0.77,0.87,0.92,0.80,0.90,0.99
19,Zeek,0.84,0.84,0.85,0.84,0.95,0.96,0.79,0.87,0.96
20,asm2vec_e10,0.62,0.81,0.74,0.69,0.74,0.84,0.92,0.96,1.00
21,catalog1_128,0.43,0.74,0.67,0.56,0.43,0.76,0.86,0.92,0.99
22,catalog1_16,0.48,0.66,0.61,0.54,0.49,0.63,0.63,0.75,0.94
23,catalog1_32,0.47,0.70,0.64,0.55,0.47,0.71,0.70,0.81,0.97
24,catalog1_64,0.45,0.71,0.66,0.56,0.45,0.74,0.78,0.87,0.99
25,pvdbow_e10,0.52,0.80,0.73,0.64,0.63,0.87,0.93,0.96,0.99
26,pvdm_e10,0.51,0.80,0.73,0.64,0.63,0.86,0.93,0.96,0.99
